rep,top_k,mean_mu,median_mu,mean_sigma,median_sigma,mean_EI,median_EI,overlap_with_EI
159,50,-0.039557551917463456,-0.03069233312239924,0.13816334365479022,0.13599652101762005,0.02434516680883727,0.025914797592058465,0.14
160,50,-0.03090140370961807,-0.027520920073348613,0.13525676611589438,0.13110238582509803,0.02543789948859172,0.025814691679528195,0.18
161,50,-0.028846765967316054,-0.027651840767848518,0.13977423193868962,0.14089632357314763,0.027146816301889292,0.02861112932030671,0.2
162,50,-0.04611794245413017,-0.03136623241212756,0.13664312233362852,0.13575553035785354,0.023045683745534062,0.022727322337432174,0.18
163,50,-0.041408625970284454,-0.031846048063865026,0.1341581905100489,0.13498073379426265,0.023004846692212467,0.021657494555017365,0.12
164,50,-0.032957622721295377,-0.025917570441660986,0.13545867631374,0.1375743395388202,0.024960282766710667,0.026348649929920608,0.12
165,50,-0.03316839466820301,-0.028175639477971,0.14108814295993835,0.14082925592812695,0.027065856218138992,0.02861112932030671,0.24
166,50,-0.03359576862307698,-0.028809617255274922,0.13305032228926514,0.13337774391741075,0.02407099652924751,0.024839179969713472,0.16
167,50,-0.027727622430657878,-0.023071830282738726,0.13722527720263636,0.13527455578394276,0.02731308067315611,0.0296074905138138,0.2
168,50,-0.04292794028988336,-0.03300798088087542,0.13413691765588714,0.1344562306316464,0.022527671000541618,0.023915558174143786,0.14
169,50,-0.03525569687190535,-0.02724272980941236,0.1357579724534636,0.13686476678493598,0.02453201956453764,0.025354120231904892,0.18
170,50,-0.03912639586684788,-0.0325949224364484,0.13459393773773246,0.13374360611578695,0.023281536841787645,0.0227683244502124,0.12
171,50,-0.035896148173678644,-0.02981898951058932,0.13831984296260857,0.13774213476449382,0.02517089750379671,0.02863020224682489,0.14
172,50,-0.032527660874523696,-0.029302185639968146,0.13761533442469776,0.1383165107808832,0.025448155149385903,0.026747973088073074,0.16
173,50,-0.03923055493970159,-0.02958089169922952,0.13467248940175572,0.12978209233867097,0.02347963204096013,0.022461116810394255,0.16
174,50,-0.032645061204405475,-0.02666279019345471,0.14054398944273477,0.1401159759926111,0.02663825520358172,0.02950280021166429,0.2
175,50,-0.04018677804601418,-0.03219852518439541,0.13869153379298638,0.13686476678493598,0.024112057004140704,0.02486330643721578,0.14
176,50,-0.03434750461992006,-0.02915396261254769,0.1401287438554546,0.14210054200472239,0.026014979493587092,0.02677390137151259,0.18
177,50,-0.03737528111779878,-0.029055372732805222,0.14169355286850918,0.14167217316889674,0.026251196202274313,0.03025230772724108,0.22
178,50,-0.0430653586704536,-0.031079204476893878,0.13832149838480795,0.13498073379426265,0.02421176486637257,0.025199210412309,0.16
179,50,-0.03010611730910831,-0.027416030623286184,0.1434043869979992,0.1466101446721399,0.0279009489579327,0.031133498163582664,0.26
180,50,-0.02687761109457911,-0.025317771141444546,0.13981406108856753,0.1386094619492722,0.027529183120619093,0.02727669416231627,0.2
181,50,-0.031888202143893866,-0.02458451110327723,0.13092199749783062,0.12525274677113196,0.02377486115371804,0.02354083253371929,0.14
182,50,-0.033887057978872044,-0.026575483315874344,0.13539579004999716,0.1334125680065425,0.025040693481239794,0.0253023232435263,0.18
183,50,-0.034174977826315345,-0.0299648176260918,0.13370596714135619,0.13311755197576158,0.02412670539061933,0.02326311081192501,0.14
184,50,-0.03773782060095219,-0.02981898951058932,0.14142079524241663,0.1443258396137531,0.026179950657470183,0.029558321196665946,0.16
185,50,-0.03583363704541591,-0.02861148779451267,0.13819221534817586,0.13655390024660352,0.02544151652748712,0.029136519295563025,0.12
186,50,-0.034043295947632474,-0.026594316280985287,0.1388544499445319,0.13673705501545386,0.026117216274695973,0.027094898471410136,0.24
187,50,-0.028534595297844526,-0.02535371749640211,0.139747609921701,0.14243833193116046,0.027131332778124496,0.030162235043765407,0.16
188,50,-0.033572417775476454,-0.02730549659696853,0.1351961206483924,0.13332480674370023,0.024445052288246723,0.022394806958188157,0.14
189,50,-0.03657612211421712,-0.028809617255274922,0.1340000813202778,0.1317846704606635,0.02349415840332292,0.021231505275269236,0.12
190,50,-0.03709537107419977,-0.028566526260488136,0.13641391591557153,0.13946888286303677,0.02490481492531454,0.027608461807424736,0.22
191,50,-0.037226007562695944,-0.028809617255274922,0.13465767451196575,0.13060829184857503,0.02325198051389491,0.022602500808915738,0.12
192,50,-0.03630927739251751,-0.0263120151246369,0.13179012344855998,0.12947522290163285,0.02358465112670402,0.0254475468646971,0.1
193,50,-0.03067902652369555,-0.023357936615586265,0.13435671749867356,0.134891668477913,0.02495387031511058,0.023337180011450777,0.14
194,50,-0.0289179597028272,-0.025051060016513315,0.13894585081584226,0.1385398241572417,0.02705779213203029,0.029066079300772256,0.26
195,50,-0.03169028769108028,-0.02657907315154532,0.13773754156306647,0.13544481159955893,0.02642875522295599,0.02993641419723813,0.22
196,50,-0.029118128523907362,-0.02417120795817473,0.13688712983630125,0.13622717421895558,0.026065979101224386,0.02530643069707484,0.18
197,50,-0.02871202416097902,-0.025917570441660986,0.1401854299808223,0.14008382682791032,0.02774331985284402,0.03129062003759052,0.22
198,50,-0.034137250827789664,-0.025209362800319778,0.13707598485049444,0.1363130901367003,0.025508353865018072,0.02623137362660688,0.2
199,50,-0.034555069229943246,-0.02595614329973038,0.1398669750134079,0.13519549466896547,0.026031755795476074,0.02770422452031064,0.24
200,50,-0.03633609546508479,-0.02981898951058932,0.13795337762686985,0.13201784915456166,0.02519665160463877,0.02658183399296078,0.2
201,50,-0.03841238642988666,-0.03320048847328823,0.13710116807967782,0.1348390369763219,0.023856450845152408,0.02577104698137128,0.06
202,50,-0.037917161072909336,-0.03059189642181368,0.13619618635569875,0.13533702122183494,0.023830894529381554,0.024485519209516637,0.08
203,50,-0.03498056984187952,-0.027783373615106445,0.13921500059757805,0.13536739620315155,0.02559144456994356,0.026164712796922708,0.28
204,50,-0.034674532410892474,-0.02904861199996931,0.13297368742075819,0.1272220829163227,0.023560811373291943,0.02306603266906626,0.16
205,50,-0.03360676020486301,-0.023660421850855953,0.13301036744828867,0.13110238582509803,0.0250617921788978,0.02720417875046431,0.16
206,50,-0.031228891579281774,-0.0260770216321786,0.1371100350963089,0.13703696004306884,0.025915793925654605,0.030263788024562914,0.18
207,50,-0.03384192161326215,-0.025917570441660986,0.13472603650337786,0.12920558209386318,0.024408563395250854,0.02543319846420596,0.18
208,50,-0.03358074631680236,-0.02982755780759705,0.136490690717288,0.13471965925464757,0.024980114097073933,0.0253023232435263,0.2
209,50,-0.031605431225511856,-0.02694833166269826,0.14013253888520008,0.14164216201434027,0.026457019224703556,0.02946053504953929,0.18
210,50,-0.030418953220060607,-0.026317300514512296,0.1379610268591214,0.13788875756356195,0.026471406985965843,0.027871398165765268,0.12
211,50,-0.032415187537671496,-0.02932083956830476,0.14193116592562569,0.13964032038762036,0.026962283459332805,0.029462110575298343,0.22
212,50,-0.035108528622145994,-0.027859226835480616,0.13255797728533014,0.13160044005315436,0.02408932401803278,0.026594852701563802,0.12
213,50,-0.036957199192930786,-0.026284762729325152,0.136798301025579,0.13533702122183494,0.024675209246550183,0.02354083253371929,0.2
214,50,-0.02921022161140622,-0.02594595873253164,0.13924853318511948,0.13857238266291852,0.02724235022155354,0.02944764425955832,0.16
